Sex,Age,Mx_1950,Mx_2000,Px_1950,Px_2000
Total,67,0.033655,0.013846,153287.83,429791.94
Total,68,0.038762,0.015034,140516.26,411596.89
Total,69,0.032958,0.016842,153182.02,407904.93
Total,70,0.055372,0.018578,136053.95,388838.69
Total,71,0.043535,0.020526,113730.32,377866.32
Total,72,0.06053,0.022828,116143.33,356449.05
Total,73,0.061721,0.025269,105387.63,345164.26
Total,74,0.064879,0.028204,102003.01,325941.69
Total,75,0.076231,0.031643,92088.71,314101.96
Total,76,0.084148,0.035295,77537.14,297492.19
Total,77,0.084604,0.039613,71109.32,281244.47
Total,78,0.114071,0.045018,58885.05,262675.18
Total,79,0.081747,0.050177,61694.77,230804.62
Total,80,0.141275,0.056168,51789.66,212184.56
Total,81,0.090773,0.062521,42522.86,176165.7
Total,82,0.134361,0.070531,35571.83,167812.57
Total,83,0.134065,0.079366,30937.91,150126.36
Total,84,0.177995,0.088461,26800.29,135731.57
Total,85,0.178937,0.098559,22248.74,126380.91
Total,86,0.198812,0.112512,17789.83,110379.26
Total,87,0.196033,0.124867,13908.81,98592.85
Total,88,0.216377,0.141723,11043.91,82061.57
Total,89,0.218414,0.156051,9049.13,68778.73
Total,90,0.285943,0.17623,7108.26,56261.83
Total,91,0.166395,0.198887,5224.84,44065.14
Total,92,0.258767,0.216561,3871.28,34452.21
Total,93,0.234202,0.241025,2911.37,25511.88
Total,94,0.269627,0.26282,2246.14,18993.98
Total,95,0.289321,0.289764,1667.01,13469.61
Total,96,0.365506,0.312492,1174.15,9459.44
Total,97,0.327337,0.321302,793.4,6607.5
Total,98,0.491898,0.331407,509.62,4263.64
Total,99,0.47194,0.354445,310.17,2702.82
Total,100,0.46178,0.39987,191.09,1633.03
Total,101,0.302569,0.436364,116.01,779.17
Total,102,0.433678,0.451937,74,464.67
Total,103,0.429987,0.509735,48.96,282.5
Total,104,0.239677,0.583153,33.46,154.33
Total,105,0.294624,0.464435,21.48,79.67
Total,106,0.434655,0.654135,13.62,44.33
Total,107,0.537191,0.812903,9.79,25.83
Total,108,0.532032,0.571429,8.2,14
Total,109,0.445427,1.066667,7.16,7.5
Total,110,0.197563,0.521739,10.12,7.67
